Congress,Begin year,End Year,# of House Seats,Pro-Administration,Anti-Administration,Other,Del./Res.
1st,1789,1791,65,37,28,0,0/0
2nd,1791,1793,69,39,30,0,0/0
3rd,1793,1795,105,51,54,0,Jan-00
4th,1795,1797,106,47,59,0,Jan-00
5th,1797,1799,106,57,49,0,0/0
6th,1799,1801,106,60,46,0,Jan-00
7th,1801,1803,106,38,68,0,Feb-00
8th,1803,1805,142,39,103,0,Jan-00
9th,1805,1807,142,28,114,0,Mar-00
10th,1807,1809,142,26,116,0,Mar-00
11th,1809,1811,142,50,92,0,Mar-00
12th,1811,1813,143,36,107,0,May-00
13th,1813,1815,182,68,114,0,Apr-00
14th,1815,1817,183,64,119,0,Apr-00
15th,1817,1819,185,39,146,0,Apr-00
16th,1819,1821,186,26,160,0,Apr-00
17th,1821,1823,187,32,155,0,Apr-00
18th,1823,1825,213,72,64,"Crawford Republicans (53),",Mar-00
,,,,,,"Adams-Clay Federalists (15),",
,,,,,,"Jackson Federalists (7),",
,,,,,,Crawford Federalists (2),
19th,1825,1827,213,109,104,0,Mar-00
20th,1827,1829,213,100,113,0,Mar-00
21st,1829,1831,213,72,136,Anti-Masonics (5),Mar-00
22nd,1831,1833,213,66,126,"Anti-Masonics (17),",Mar-00
,,,,,,Nullifiers (4),
23rd,1833,1835,240,63,143,"Anti-Masonics (25),",Mar-00
,,,,,,Nullifiers (9),
24th,1835,1837,242,75,143,"Anti-Masonics (16),",Apr-00
,,,,,,Nullifiers (8),
25th,1837,1839,242,128,100,"Anti-Masonics (7),",Mar-00
,,,,,,"Nullifiers (6),",
,,,,,,Independent (1),
26th,1839,1841,242,125,109,"Anti-Masonics (6),",Mar-00
,,,,,,Conservatives (2),
27th,1841,1843,242,98,142,"Independent (1),",Mar-00
,,,,,,Independent Democrat (1),
28th,1843,1845,223,147,72,"Law and Order (2),",Mar-00
,,,,,,"Independent Democrat (1),",
,,,,,,Independent Whig (1),
29th,1845,1847,228,142,79,American (6),Feb-00
30th,1847,1849,230,110,116,"Independent Democrats (2),",Jan-00
,,,,,,"American (1),",
,,,,,,Independent (1),
31st,1849,1851,233,113,108,"Free Soilers (9),",Feb-00
