Begin Year, End Year, Majority, Majority Seats, Minority, Minority Seats
1789,1791,Pro-Administration,18 seats,Administration,8 seats
1791,1793,Pro-Administration,16 seats,Anti-Administration,13 seats
1793,1795, Pro-Administration,16 seats,Anti-Administration,14 seats
1795,1797,Federalists,21 seats,Republicans,11 seats
1797,1799,Federalists,22 seats,Republicans,10 seats
1799,1801,Federalists,22 seats,Republicans,10 seats
1801,1803,Republicans,17 seats,Federalists,15 seats
1803,1805,Republicans,25 seats,Federalists,9 seats
1805,1807,Republicans,27 seats,Federalists,7 seats
1807,1809,Republicans,28 seats,Federalists,6 seats
1809,1811,Republicans,27 seats,Federalists,7 seats
1811,1813,Republicans,30 seats,Federalists,6 seats
1813,1815,Republicans,28 seats,Federalists,8 seats
1815,1817,Republicans,26 seats,Federalists,12 seats
1817,1819,Republicans,30 seats,Federalists,12 seats
1819,1821,Republicans,37 seats,Federalists,9 seats
1821,1823,Republicans,44 seats,Federalists,4 seats
1823,1825,Republicans,31 seats,Federalists,17 seats
1825,1827,Jacksonians,26 seats,Adams,22 seats
1827,1829,Jacksonians,27 seats,Adams,21 seats
1829,1831,Jacksonians,25 seats,Anti-Jacksons,23 seats
1831,1833,Jacksonians,24 seats,Anti-Jacksons,22 seats
1833,1835,Anti-Jacksons,26 seats,Jacksonians,20 seats
1835,1837,Jacksonians,26 seats,Anti-Jacksons,24 seats
1837,1839,Democrats,35 seats,Whigs,17 seats
1839,1841,Democrats,30 seats,Whigs,22 seats
1841,1843,Whigs,29 seats,Democrats,22 seats
1843,1845,Whigs,29 seats,Democrats,23 seats
1845,1847,Democrats,34 seats,Whigs,22 seats
 1847,1849,Democrats,38 seats,Whigs,21 seats
1849,1851,Democrats,35 seats,Whigs,25 seats
1851,1853,Democrats,36 seats,Whigs,23 seats
1853,1855,Democrats,38 seats,Whigs,22 seats
1855,1857,Democrats,39 seats,Oppositions,21 seats
1857,1859,Democrats,41 seats,Republicans,20 seats
1859,1861,Democrats,38 seats,Republicans,26 seats
1861,1863,Republicans,31 seats,Democrats ,15 seats
1863,1865,Republicans,33 seats,Democrats,10 seats
1865,1867,Republicans,39 seats,Democrats,11 seats
1867,1869,Republicans,57 seats,Democrats,9 seats
1869,1871,Republicans,62 seats,Democrats,12 seats
1871,1873,Republicans,56 seats,Democrats,17 seats
1873,1875,Republicans,47 seats,Democrats,19 seats
1875,1877,Republicans,46 seats,Democrats,28 seats
1877,1879,Republicans,40 seats,Democrats,35 seats
1879,1881,Democrats,42 seats,Republicans,33 seats
1881,1883,Republicans,37 seats,Democrats,37 seats
1883,1885,Republicans,38 seats,Democrats,36 seats
1885,1887,Republicans,42 seats,Democrats,34 seats
1887,1889,Republicans,39 seats,Democrats,37 seats
1889,1891,Republicans,51 seats,Democrats,37 seats
1891,1893,Republicans,47 seats,Democrats,39 seats
1893,1895,Democrats,44 seats,Republicans,40 seats
1895,1897,Republicans,44 seats,Democrats,40 seats
1897,1899,Republicans,44 seats,Democrats,34 seats
1899,1901,Republicans,53 seats,Democrats,26 seats
1901,1903,Republicans,56 seats,Democrats,32 seats
1903,1905,Republicans,57 seats,Democrats,33 seats
1905,1907,Republicans,58 seats,Democrats,32 seats
1907,1909,Republicans,61 seats,Democrats,31 seats
1909,1911,Republicans,60 seats,Democrats,32 seats
1911,1913,Republicans,52 seats,Democrats,44 seats
1913,1915,Democrats,51 seats,Republicans,44 seats
1915,1917,Democrats,56 seats,Republicans,40 seats
1917,1919,Democrats,54 seats,Republicans,42 seats
1919,1921,Republicans,49 seats,Democrats,47 seats
1921,1923,Republicans,59 seats,Democrats,37 seats
1923,1925,Republicans,53 seats,Democrats,42 seats
1925,1927,Republicans,54 seats,Democrats,41 seats
1927,1929,Republicans,48 seats,Democrats,46 seats
1929,1931,Republicans,56 seats,Democrats,39 seats
1931,1933,Republicans,48 seats,Democrats,47 seats
1933,1935,Democrats,59 seats,Republicans,36 seats
1935,1937,Democrats,69 seats,Republicans,25 seats
1937,1939,Democrats,76 seats,Republicans,16 seats
1939,1941,Democrats,69 seats,Republicans,23 seats
1941,1943,Democrats,66 seats,Republicans,28 seats
1943,1945,Democrats,57 seats,Republicans,38 seats
1945,1947,Democrats,57 seats,Republicans,38 seats
1947,1949,Republicans,51 seats,Democrats,45 seats
1949,1951,Democrats,54 seats,Republicans,42 seats
1951,1953,Democrats,49 seats,Republicans,47 seats
1953,1955,Republicans,48 seats,Democrats,47 seats
1955,1957,Democrats,48 seats,Republicans,47 seats
1957,1959,Democrats,49 seats,Republicans,47 seats
1959,1961,Democrats,65 seats,Republicans,35 seats
1961,1963,Democrats,64 seats,Republicans,36 seats
1963,1965,Democrats,66 seats,Republicans,34 seats
1965,1967,Democrats,68 seats,Republicans,32 seats
1967,1969,Democrats,64 seats,Republicans,36 seats
1969,1971,Democrats,57 seats,Republicans,43 seats
1971,1973,Democrats,54 seats,Republicans,44 seats
1973,1975,Democrats,56 seats,Republicans,42 seats
1975,1977,Democrats,61 seats,Republicans,37 seats
1977,1979,Democrats,61 seats,Republicans,38 seats
1979,1981,Democrats,58 seats,Republicans,41 seats
1981,1983,Republicans,53 seats,Democrats,46 seats
1983,1985,Republicans,55 seats,Democrats,45 seats
1985,1987,Republicans,53 seats,Democrats,47 seats
1987,1989,Democrats,55 seats,Republicans,45 seats
1989,1991,Democrats,55 seats,Republicans,45 seats
1991,1993,Democrats,56 seats,Republicans,44 seats
1993,1995,Democrats,57 seats,Republicans,43 seats
1995,1997,Republicans,52 seats,Democrats,48 seats
1997,1999,Republicans,55 seats,Democrats,45 seats
1999,2001,Republicans,55 seats,Democrats,45 seats
2001,2001,Democrats,50 seats,Republicans,50 seats
2001,2001,Republicans,50 seats,Democrats,50 seats
2001,2002,Democrats,50 seats,Republicans,49 seats
2002,2003,Republicans,50 seats,Democrats,48 seats
2003,2005,Republicans,51 seats,Democrats,48 seats
2005,2007,Republicans,55 seats,Democrats,44 seats
2007,2009,Democrats,49 seats,Republicans,49 seats
2009,2011,Democrats,57 seats,Republicans,41 seats
2011,2013,Democrats,51 seats,Republicans,47 seats
2013,2015,Democrats,53 seats,Republicans,45 seats
2015,2017,Republicans,54 seats,Democrats,44 seats
2017,2019,Republicans,51 seats,Democrats,47 seats
2019,2021,Republicans,53 seats,Democrats,45 seats
2021,2023,Democrats,48 seats,Republicans,50 seats
2023,2025,Democrats,47 seats,Republicans,49 seats
2025,2027,Republicans,53 seats,Democrats,45 seats
