Fiscal Year,Final Date of Budget Authority,Full Day(s) of Gapb,Date Gap Terminated
1977,"Thursday, 09/30/76",10,"Monday, 10/11/76"
1978,"Friday, 09/30/77",12,"Thursday, 10/13/77"
,"Monday, 10/31/77",8,"Wednesday, 11/09/77"
,"Wednesday, 11/30/77",8,"Friday, 12/09/77"
1979,"Saturday, 09/30/78",17,"Wednesday, 10/18/78"
1980,"Sunday, 09/30/79",11,"Friday, 10/12/79"
1982,"Friday, 11/20/81",2,"Monday, 11/23/81"
1983,"Thursday, 09/30/82",1,"Saturday, 10/02/82"
,"Friday, 12/17/82",3,"Tuesday, 12/21/82"
1984,"Thursday, 11/10/83",3,"Monday, 11/14/83"
1985,"Sunday, 09/30/84",2,"Wednesday, 10/03/84"
,"Wednesday, 10/03/84",1,"Friday, 10/05/84"
1987,"Thursday, 10/16/86",1,"Saturday, 10/18/86"
1988,"Friday, 12/18/87",1,"Sunday, 12/20/87"
1991,"Friday, 10/05/90",3,"Tuesday, 10/09/90"
1996,"Monday, 11/13/95",5,"Sunday, 11/19/95"
,"Friday, 12/15/95",21,"Saturday, 01/06/96"
2014,"Monday, 09/30/13",16,"Thursday, 10/17/13"
2018,"Friday, 01/19/18",2,"Monday, 1/22/18"
2019,"Friday, 12/21/18",34,"Friday, 1/25/19"
